'Titulo','Direcao','Nota','Link','Ano','Categoria'
'Toy Story - Um Mundo de Aventuras','<built-in method strip of str object at 0x000002526C4AEC70>','4.6','https://www.adorocinema.com/filmes/filme-14264/','22 de dezembro de 1995','N/A'
'Cantando na Chuva','<built-in method strip of str object at 0x00000252693F05D0>','4.6','https://www.adorocinema.com/filmes/filme-5120/','30 de junho de 1952','N/A'
'À Procura da Felicidade','<built-in method strip of str object at 0x0000025269C57D30>','4.6','https://www.adorocinema.com/filmes/filme-54098/','2 de fevereiro de 2007','N/A'
'Harry Potter e as Relíquias da Morte - Parte 2','<built-in method strip of str object at 0x0000025269CDCFF0>','4.6','https://www.adorocinema.com/filmes/filme-134925/','15 de julho de 2011','N/A'
'Divertida Mente','<built-in method strip of str object at 0x000002526B6D8970>','4.5','https://www.adorocinema.com/filmes/filme-196960/','18 de junho de 2015','N/A'
'Toy Story 3','<built-in method strip of str object at 0x000002526B9991B0>','4.6','https://www.adorocinema.com/filmes/filme-126123/','18 de junho de 2010','N/A'
'Três Homens em Conflito','<built-in method strip of str object at 0x000002526B9DF6B0>','4.6','https://www.adorocinema.com/filmes/filme-19395/','1 de outubro de 2020','N/A'
'Bastardos Inglórios','<built-in method strip of str object at 0x000002526B9BF5B0>','4.6','https://www.adorocinema.com/filmes/filme-60208/','9 de outubro de 2009','N/A'
'Star Wars: O Império Contra-ataca','<built-in method strip of str object at 0x000002526B60C930>','4.6','https://www.adorocinema.com/filmes/filme-25802/','21 de julho de 1980','N/A'
'A Origem','<built-in method strip of str object at 0x00000252694410B0>','4.6','https://www.adorocinema.com/filmes/filme-143692/','6 de agosto de 2010','N/A'
'Logan','<built-in method strip of str object at 0x0000025269AC0330>','4.0','https://www.adorocinema.com/filmes/filme-225116/','2 de março de 2017','N/A'
'Homens de Honra','<built-in method strip of str object at 0x00000252573C6940>','4.6','https://www.adorocinema.com/filmes/filme-27434/','23 de março de 2001','N/A'
'Histórias Cruzadas','<built-in method strip of str object at 0x0000025269B8D930>','3.2','https://www.adorocinema.com/filmes/filme-176673/','3 de fevereiro de 2012','N/A'
'Até o Último Homem','<built-in method strip of str object at 0x000002526B7223B0>','3.3','https://www.adorocinema.com/filmes/filme-208104/','26 de janeiro de 2017','N/A'
'O Sexto Sentido','<built-in method strip of str object at 0x000002526C748670>','4.6','https://www.adorocinema.com/filmes/filme-22092/','22 de outubro de 1999','N/A'
'Ben-Hur','<built-in method strip of str object at 0x000002526969C8F0>','4.6','https://www.adorocinema.com/filmes/filme-1532/','29 de janeiro de 1960','N/A'
'Wall-E','<built-in method strip of str object at 0x000002526BC7C230>','4.6','https://www.adorocinema.com/filmes/filme-123734/','27 de junho de 2008','N/A'
'Matrix','<built-in method strip of str object at 0x00000252693F6040>','4.6','https://www.adorocinema.com/filmes/filme-19776/','21 de maio de 1999','N/A'
'Coringa','<built-in method strip of str object at 0x000002526B2D25B0>','4.2','https://www.adorocinema.com/filmes/filme-258374/','3 de outubro de 2019','N/A'
'A Bela e a Fera','<built-in method strip of str object at 0x00000252693F2310>','4.8','https://www.adorocinema.com/filmes/filme-7229/','10 de julho de 1992','N/A'
'A Noviça Rebelde','<built-in method strip of str object at 0x000002526A018A30>','4.6','https://www.adorocinema.com/filmes/filme-238/','3 de maio de 1965','N/A'
'Tempos Modernos','<built-in method strip of str object at 0x000002526C4C05B0>','4.6','https://www.adorocinema.com/filmes/filme-1832/','1 de agosto de 2020','N/A'
'O Pianista','<built-in method strip of str object at 0x000002526BF992F0>','4.6','https://www.adorocinema.com/filmes/filme-28359/','7 de março de 2003','N/A'
'Batman - O Cavaleiro das Trevas Ressurge','<built-in method strip of str object at 0x000002526BCD29F0>','4.0','https://www.adorocinema.com/filmes/filme-132874/','27 de julho de 2012','N/A'
'Jurassic Park - Parque dos Dinossauros','<built-in method strip of str object at 0x000002526C2BA7B0>','5.0','https://www.adorocinema.com/filmes/filme-8488/','13 de junho de 1993','N/A'
'Procurando Nemo','<built-in method strip of str object at 0x00000252693F5460>','4.5','https://www.adorocinema.com/filmes/filme-29057/','4 de julho de 2003','N/A'
'Seven - Os Sete Crimes Capitais','<built-in method strip of str object at 0x000002526BBE9330>','4.6','https://www.adorocinema.com/filmes/filme-13892/','15 de dezembro de 1995','N/A'
